Time,Cd,Cl,CmRoll,CmPitch,CmYaw,Cd(f),Cd(v),Cl(f),Cl(v)
1046,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1047,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1047,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1048,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1048,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1049,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1049,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1050,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1050,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1051,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1051,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1052,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1052,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1053,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1053,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1054,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1054,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1055,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1055,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1056,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1056,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1057,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1057,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1058,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1058,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1059,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1059,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1060,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1060,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1061,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1061,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1062,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1062,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1063,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1063,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1064,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1064,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1065,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1065,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1066,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1066,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1067,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1067,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1068,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1068,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1069,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1069,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1070,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1070,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1071,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1071,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1072,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1072,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1073,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1073,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1074,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1074,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1075,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1075,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1076,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1076,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1077,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1077,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1078,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1078,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1079,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1079,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1080,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1080,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1081,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1081,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1082,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1082,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1083,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1083,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1084,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1084,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1085,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1085,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1086,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1086,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1087,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
1087,(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00),(0.000000e+00,0.0,0.000000e+00)
